#,Country/territory,Date of first store,First outlet location,No. ofoperatingoutlets,Source and date of source,Population per outlet,Notes
1,United States,"May 15, 1940Franchise: April 15, 1955","San Bernardino, CaliforniaDes Plaines, Illinois(Franchise)","13.0,697","(source: Corporate McDonald's December 31, 2025)[5]","25.0,483",First outlet. SeeMcDonald's USA
2,Canada(details),"June 3, 1967","Richmond, British Columbia(Reopened June 23, 2017)","0.0,520","(source: Corporate McDonald's December 31, 2025)[5]","0.0,624",First outlet outside theUnited States. SeeMcDonald's Canada
3,Puerto Rico(territory of United States),"November 10, 1967",San Juan,94,"(source: Corporate McDonald's December 31, 2025)[5]","0.0,284",First McDonald's inLatin Americaand in the Caribbean and the first McDonald's in aHispanophonearea. SeeMcDonald's Puerto Rico
4,U.S. Virgin Islands(territory of United States),"September 5, 1970",Saint Croix,5,"(source: Corporate McDonald's December 31, 2025)[5]",16.000000000,
5,Costa Rica,"December 8, 1970","San José, 4th street, between 1st and Central Avenue.",79,"(source: Corporate McDonald's December 31, 2025)[5]",65.00000004,Third country (not U.S. possession) where McDonald's opened. SeeMcDonald's Costa Rica
6,Australia,"May 30, 1971","Yagoona, New South Wales[19]",1.0000076,"(source: Corporate McDonald's December 31, 2025)[5]",25.00000004,"First outlet inOceania, outside theAmericas, and in theSouthern Hemisphere. SeeMcDonald's Australia. Locally nicknamed as Maccas."
7,Guam(territory of United States),"June 10, 1971",Dededo,6,(source: McDonald's Guam 2025)[20],"28.0,364",First outlet inMicronesia. SeeMcDonald's Guam & Saipan
8,Japan,"July 21, 1971","GinzaMitsukoshi,Ginza,Chuo City,Tokyo","0.0,025","(source: Corporate McDonald's December 31, 2025)[5]","0.0,472","First outlet inAsia, McDonald's Holdings Company Japan, Inc.[21]locally known asmakku(マック)andmakudo.[22]SeeMcDonald's Japan"
9,Netherlands,"August 21, 1971",Zaandam,266,"(source: Corporate McDonald's December 31, 2025)[5]","69.0,356",This was the first outlet inEurope. Opened in 1971 by European Master Franchisees Jan Sybesma McDonald's Europe – Plan to open 15 more stores in the next 4 years. SeeMcDonald's Netherlands
10,Panama,"September 1, 1971",Panama City,84,"(source: Corporate McDonald's December 31, 2025)[5]",55.0000068,SeeMcDonald's Panama
11,Germany,"November 22, 1971(West Germany)March 1, 1983 (West Berlin)[23]December 21, 1990(former East Germany)[24]",Munich(West Germany)Plauen(former East Germany),"0.0,382","(source: Corporate McDonald's December 31, 2025)[5]","0.0,524",First outlet inWest Germanyopened inMunich-Obergiesingin 1971. McDonald's is locally known as Mäkkes. First outlet in thenew states of Germanyopened inPlauenin 1990 followingreunification. SeeMcDonald's Germany
